"","qname","log2fc"
"153","ARCN1_c_118443432.28","-0.17529130001614"
"154","ARCN1_c_118443443.25","-0.256072294023216"
"155","ARCN1_c_118443443.27","-0.0698479735566053"
"156","ARCN1_c_118443537.27","0.0340507132306611"
"157","ARCN1_c_118443542.23","0.352470089899729"
"158","ARCN1_c_118443542.24","0.363954617957964"
"159","ARCN1_c_118443542.25","0.076572096435413"
"160","ARCN1_c_118443542.28","-0.0734778490020121"
"161","ARCN1_c_118443569.26","0.165025268069456"
"162","ARCN1_c_118443569.28","0.386104739470208"
"163","ARCN1_c_118443572.23","-0.0684368335876639"
"164","ARCN1_c_118443575.26","0.107306118348399"
"165","ARCN1_c_118443580.26","0.326436490303865"
"166","ARCN1_c_118443581.25","0.819860527305104"
"167","ARCN1_c_118443581.27","0.102420462064069"
"168","ARCN1_c_118443594.26","0.123451872396434"
"169","ARCN1_c_118443594.27","0.178517023409355"
"170","ARCN1_c_118443601.23","0.55999442831975"
"171","ARCN1_c_118443601.25","0.0547187070563148"
"172","ARCN1_c_118443601.27","-0.0497558356710956"
"173","ARCN1_c_118443601.28","-0.184163252803351"
"174","ARCN1_c_118443621.28","-0.26086623183544"
"175","ARCN1_c_118443629.24","0.0036329953563821"
"176","ARCN1_c_118443637.26","0.644194778417027"
"177","ARCN1_c_118443646.26","0.0601219950722196"
"178","ARCN1_c_118443646.27","0.277019418374448"
"179","ARCN1_c_118443651.24","0.370807542081491"
"180","ARCN1_c_118443662.26","0.127462274971159"
"181","ARCN1_c_118443662.27","-0.156273724301932"
"182","ARCN1_c_118443671.26","-0.453334115973037"
"183","ARCN1_c_118443671.27","0.49060784979428"
"184","ARCN1_c_118443718.26","-0.0733752845263706"
"185","ARCN1_c_118443749.26","0.0360842859360353"
"186","ARCN1_c_118443780.25","0.165351414134975"
"187","ARCN1_c_118443781.26","0.317803943688501"
"188","ARCN1_c_118443782.27","0.334652246682033"
"189","ARCN1_c_118443783.28","-0.039531130938846"
"190","ARCN1_c_118443807.25","0.0704176596209889"
"191","ARCN1_c_118443807.26","-0.309533666740034"
"192","ARCN1_c_118443807.27","0.168393944709502"
"193","ARCN1_c_118443807.28","0.18105698864844"
"194","ARCN1_c_118443833.25","0.0134252074581113"
"195","ARCN1_c_118443833.27","0.234014462831784"
"196","ARCN1_c_118443833.28","0.0556013855607012"
"197","ARCN1_c_118443904.25","-0.0237906803430566"
"198","ARCN1_c_118443905.24","0.0948552223224628"
"199","ARCN1_c_118443905.26","0.25530618229587"
"200","ARCN1_c_118443906.25","-0.0559765567740275"
"201","ARCN1_c_118443906.27","-0.0415720091690477"
"202","ARCN1_c_118443930.25","-0.00783966655907791"
"203","ARCN1_c_118443930.26","-0.251659126617057"
"204","ARCN1_c_118443930.27","-0.193662878739278"
"205","ARCN1_c_118443930.28","-0.192077770929826"
"206","ARCN1_c_118443931.26","-0.143728863918607"
"207","ARCN1_c_118443931.27","0.364124935967376"
"208","ARCN1_c_118443931.28","-0.0603880461635657"
"209","ARCN1_c_118443945.24","0.2131245445072"
"210","ARCN1_c_118443945.27","-0.0111706517122105"
